Job Heading,Job Status,Company Name,Job Adress,Job Description,Job Link
Data Scientist,1 month ago,Future Face,"Nasr City, Cairo",Full TimeHybridExperienced · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Data Science · data scientist · Information Technology (IT) · Computer Science · Machine Learning · Programming,https://wuzzuf.net/jobs/p/dTzw6qimTfKB-Data-Scientist-Future-Face-Cairo-Egypt
Jr. Data Scientist,6 days ago,DXC Technology,Dubai,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Data Scientist,16 days ago,JOBWORLD INDIA,Dubai,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Data Scientist,28 days ago,High5,Dubai,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
DATA SCIENTIST,29 days ago,Iberdrola,Doha,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Machine Learning Scientist,13 days ago,Jadeer,Riyadh,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Machine Learning · Computer Science · Information Technology (IT) · Software Engineering · C++ · Startup,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Research Scientist,7 days ago,Nathan & Nathan,Dubai,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · python · research · analysis · programming,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Senior Data Scientist (Computer Vision),1 month ago,Presight,Dubai,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Python · Engineering · Data Analysis · Software Development,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Data Engineer Expert (ETL Informatica Tools),1 day ago,BBI,"Nasr City, Cairo",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
Big Data Consultant,27 days ago,Exco Egypt,"Nasr City, Cairo",Full TimeOn-siteManager · 10 - 16 Yrs of Exp · males_preferred · Analyst/Research · Strategy/Consulting · Big Data · Analysis · Data Management · Computer Engineering · Data Science,https://wuzzuf.net/jobs/p/g/ezA0aIhZNB6u-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
